user_id,date,daily_weight,daily_step,daily_sleep,daily_drink
u000001,23/11/2021,70,3704,450,1500
u000002,23/11/2021,51.2,10451,360,2000
u000004,23/11/2021,48.25,4606,510,1500
u000001,24/11/2021,69.8,4275,380,1000
u000002,24/11/2021,51,5340,373,2100
u000004,24/11/2021,48.1,4051,388,1000
u000001,25/11/2021,70,2865,430,1250
u000002,25/11/2021,51,5600,375,1900
u000003,25/11/2021,47.5,3144,359,1500
u000004,25/11/2021,48.5,271,370,1500
u000001,26/11/2021,69.9,2520,400,1500
u000002,26/11/2021,51,6452,440,2000
u000003,26/11/2021,48,13244,468,1200
u000004,26/11/2021,47.65,6231,381,2000
u000001,27/11/2021,70.2,1902,430,1500
u000003,27/11/2021,48.5,4830,432,1600
u000004,27/11/2021,47.2,3613,441,1000
u000001,28/11/2021,70.2,1707,490,1000
u000003,28/11/2021,48.5,5716,305,1800
u000004,28/11/2021,48,8067,501,1000
u000001,29/11/2021,70.1,4764,410,1500
u000002,29/11/2021,51,4989,420,2000
u000003,29/11/2021,48.5,6388,466,2000
u000004,29/11/2021,47.5,12082,511,1500
u000001,30/11/2021,70,4157,450,1500
u000002,30/11/2021,51,6543,390,2000
u000003,30/11/2021,48.3,5914,480,1650
u000004,30/11/2021,48.1,5341,458,2000
u000001,1/12/2021,70,3610,400,1250
u000002,1/12/2021,50.6,5321,450,1900
u000003,1/12/2021,48.1,7423,420,1950
u000004,1/12/2021,48.1,2289,570,1000
u000001,2/12/2021,70.1,2660,360,2000
u000002,2/12/2021,50.6,8763,420,2200
u000004,2/12/2021,48.1,3360,447,1500
u000001,3/12/2021,69.9,4015,420,1500
u000002,3/12/2021,50.4,4987,440,1900
u000004,3/12/2021,48.5,4160,411,500
u000001,4/12/2021,69.8,618,440,1500
u000002,4/12/2021,50,9853,360,2000
u000003,4/12/2021,48.9,5359,464,1600
u000004,4/12/2021,48.5,8658,461,500
u000001,5/12/2021,70,315,440,1500
u000002,5/12/2021,50,7654,360,2000
u000003,5/12/2021,48.2,4166,444,1800
u000004,5/12/2021,48.75,1571,523,700
u000001,6/12/2021,70.1,568,430,1200
u000002,6/12/2021,50.3,3542,375,1800
u000003,6/12/2021,48.1,3049,358,1960
u000004,6/12/2021,47.95,1040,447,1000
u000001,7/12/2021,70,2987,420,1200
u000002,7/12/2021,50.2,8432,380,1900
u000003,7/12/2021,49,8120,465,2000
u000004,7/12/2021,48.05,530,474,1000
u000002,8/12/2021,50,5982,420,2000
,,,,,
